Loading pretrained word embeddings.
Loading pretrained word embeddings.
mm_batchgen...
Loading images...
Loading images takes: 7.33s

(10000, 32, 32, 3) (2000, 32, 32, 3)
Loading text...
Loading text takes: 10.07s

25000 25000
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
mm_dataset 0-1
mm_dataset 1-0
mm_dataset 1-1
mm_dataset 2-1
mm_dataset 1-2
mm_dataset 2-0
mm_dataset 2-2
mm_dataset 0-2
Step 1, 0-1, mm Loss: 0.399365, Accuracy:  18.750000 %
Step 2, 1-0, mm Loss: 0.323648, Accuracy:  37.500000 %
Step 3, 1-1, mm Loss: 0.239926, Accuracy:  43.750000 %
Step 4, 2-1, mm Loss: 0.153233, Accuracy:  50.000000 %
Step 5, 1-2, mm Loss: 0.119188, Accuracy:  68.750000 %
Step 6, 2-0, mm Loss: 0.222332, Accuracy:  50.000000 %
Step 7, 2-2, mm Loss: 0.068421, Accuracy:  62.500000 %
Step 8, 0-2, mm Loss: 0.207431, Accuracy:  62.500000 %
Step 9, 0-1, mm Loss: 0.265832, Accuracy:  62.500000 %
Step 10, 1-0, mm Loss: 0.315872, Accuracy:  50.000000 %
Step 11, 1-1, mm Loss: 0.218647, Accuracy:  56.250000 %
Step 12, 2-1, mm Loss: 0.154748, Accuracy:  43.750000 %
Step 13, 1-2, mm Loss: 0.145794, Accuracy:  56.250000 %
Step 14, 2-0, mm Loss: 0.218428, Accuracy:  43.750000 %
Step 15, 2-2, mm Loss: 0.089998, Accuracy:  31.250000 %
Step 16, 0-2, mm Loss: 0.240973, Accuracy:  43.750000 %
Step 17, 0-1, mm Loss: 0.326391, Accuracy:  37.500000 %
Step 18, 1-0, mm Loss: 0.303985, Accuracy:  37.500000 %
Step 19, 1-1, mm Loss: 0.216815, Accuracy:  56.250000 %
Step 20, 2-1, mm Loss: 0.142243, Accuracy:  56.250000 %
Step 21, 1-2, mm Loss: 0.141631, Accuracy:  62.500000 %
Step 22, 2-0, mm Loss: 0.216293, Accuracy:  37.500000 %
Step 23, 2-2, mm Loss: 0.080499, Accuracy:  37.500000 %
Step 24, 0-2, mm Loss: 0.220738, Accuracy:  50.000000 %
Step 25, 0-1, mm Loss: 0.318170, Accuracy:  43.750000 %
Step 26, 1-0, mm Loss: 0.298396, Accuracy:  43.750000 %
Step 27, 1-1, mm Loss: 0.254331, Accuracy:  31.250000 %
Step 28, 2-1, mm Loss: 0.159577, Accuracy:  37.500000 %
Step 29, 1-2, mm Loss: 0.159645, Accuracy:  37.500000 %
Step 30, 2-0, mm Loss: 0.226305, Accuracy:  43.750000 %
Step 31, 2-2, mm Loss: 0.066532, Accuracy:  62.500000 %
Step 32, 0-2, mm Loss: 0.216354, Accuracy:  50.000000 %
Step 33, 0-1, mm Loss: 0.268516, Accuracy:  62.500000 %
Step 34, 1-0, mm Loss: 0.271985, Accuracy:  50.000000 %
Step 35, 1-1, mm Loss: 0.232995, Accuracy:  43.750000 %
Step 36, 2-1, mm Loss: 0.155149, Accuracy:  25.000000 %
Step 37, 1-2, mm Loss: 0.135492, Accuracy:  62.500000 %
Step 38, 2-0, mm Loss: 0.190533, Accuracy:  68.750000 %
Step 39, 2-2, mm Loss: 0.079157, Accuracy:  31.250000 %
Step 40, 0-2, mm Loss: 0.230426, Accuracy:  25.000000 %
Step 41, 0-1, mm Loss: 0.293921, Accuracy:  37.500000 %
Step 42, 1-0, mm Loss: 0.244288, Accuracy:  68.750000 %
Step 43, 1-1, mm Loss: 0.206113, Accuracy:  43.750000 %
Step 44, 2-1, mm Loss: 0.140657, Accuracy:  43.750000 %
Step 45, 1-2, mm Loss: 0.148900, Accuracy:  37.500000 %
Step 46, 2-0, mm Loss: 0.216838, Accuracy:  43.750000 %
Step 47, 2-2, mm Loss: 0.074321, Accuracy:  37.500000 %
Step 48, 0-2, mm Loss: 0.200501, Accuracy:  50.000000 %
Step 49, 0-1, mm Loss: 0.266171, Accuracy:  62.500000 %
Step 50, 1-0, mm Loss: 0.334863, Accuracy:  31.250000 %
Step 51, 1-1, mm Loss: 0.205078, Accuracy:  56.250000 %
Step 52, 2-1, mm Loss: 0.146247, Accuracy:  25.000000 %
Step 53, 1-2, mm Loss: 0.127173, Accuracy:  81.250000 %
Step 54, 2-0, mm Loss: 0.205003, Accuracy:  43.750000 %
Step 55, 2-2, mm Loss: 0.067487, Accuracy:  50.000000 %
Step 56, 0-2, mm Loss: 0.211016, Accuracy:  31.250000 %
Step 57, 0-1, mm Loss: 0.273778, Accuracy:  62.500000 %
Step 58, 1-0, mm Loss: 0.289486, Accuracy:  31.250000 %
Step 59, 1-1, mm Loss: 0.207657, Accuracy:  50.000000 %
Step 60, 2-1, mm Loss: 0.145189, Accuracy:  43.750000 %
Step 61, 1-2, mm Loss: 0.146800, Accuracy:  43.750000 %
Step 62, 2-0, mm Loss: 0.225566, Accuracy:  37.500000 %
Step 63, 2-2, mm Loss: 0.067047, Accuracy:  75.000000 %
Step 64, 0-2, mm Loss: 0.204204, Accuracy:  50.000000 %
Step 65, 0-1, mm Loss: 0.271202, Accuracy:  62.500000 %
Step 66, 1-0, mm Loss: 0.276203, Accuracy:  31.250000 %
Step 67, 1-1, mm Loss: 0.217662, Accuracy:  37.500000 %
Step 68, 2-1, mm Loss: 0.142081, Accuracy:  50.000000 %
Step 69, 1-2, mm Loss: 0.136967, Accuracy:  62.500000 %
Step 70, 2-0, mm Loss: 0.218174, Accuracy:  37.500000 %
Step 71, 2-2, mm Loss: 0.069122, Accuracy:  50.000000 %
Step 72, 0-2, mm Loss: 0.210990, Accuracy:  43.750000 %
Step 73, 0-1, mm Loss: 0.289333, Accuracy:  50.000000 %
Step 74, 1-0, mm Loss: 0.285236, Accuracy:  43.750000 %
Step 75, 1-1, mm Loss: 0.212582, Accuracy:  37.500000 %
Step 76, 2-1, mm Loss: 0.134741, Accuracy:  56.250000 %
Step 77, 1-2, mm Loss: 0.137667, Accuracy:  62.500000 %
Step 78, 2-0, mm Loss: 0.196709, Accuracy:  56.250000 %
Step 79, 2-2, mm Loss: 0.071888, Accuracy:  43.750000 %
Step 80, 0-2, mm Loss: 0.215040, Accuracy:  37.500000 %
Step 81, 0-1, mm Loss: 0.279643, Accuracy:  50.000000 %
Step 82, 1-0, mm Loss: 0.287754, Accuracy:  50.000000 %
Step 83, 1-1, mm Loss: 0.205648, Accuracy:  62.500000 %
Step 84, 2-1, mm Loss: 0.140970, Accuracy:  31.250000 %
Step 85, 1-2, mm Loss: 0.136024, Accuracy:  56.250000 %
Step 86, 2-0, mm Loss: 0.192662, Accuracy:  68.750000 %
Step 87, 2-2, mm Loss: 0.067915, Accuracy:  62.500000 %
Step 88, 0-2, mm Loss: 0.191844, Accuracy:  68.750000 %
Step 89, 0-1, mm Loss: 0.268425, Accuracy:  62.500000 %
Step 90, 1-0, mm Loss: 0.316196, Accuracy:  37.500000 %
Step 91, 1-1, mm Loss: 0.202655, Accuracy:  62.500000 %
Step 92, 2-1, mm Loss: 0.125213, Accuracy:  75.000000 %
Step 93, 1-2, mm Loss: 0.145023, Accuracy:  31.250000 %
Step 94, 2-0, mm Loss: 0.232791, Accuracy:  37.500000 %
Step 95, 2-2, mm Loss: 0.071966, Accuracy:  25.000000 %
Step 96, 0-2, mm Loss: 0.220645, Accuracy:  37.500000 %
Step 97, 0-1, mm Loss: 0.278115, Accuracy:  56.250000 %
Step 98, 1-0, mm Loss: 0.293214, Accuracy:  37.500000 %
Step 99, 1-1, mm Loss: 0.210230, Accuracy:  56.250000 %
Step 100, 2-1, mm Loss: 0.139584, Accuracy:  50.000000 %
Step 101, 1-2, mm Loss: 0.140741, Accuracy:  50.000000 %
Step 102, 2-0, mm Loss: 0.206102, Accuracy:  56.250000 %
Step 103, 2-2, mm Loss: 0.067721, Accuracy:  56.250000 %
Step 104, 0-2, mm Loss: 0.207288, Accuracy:  50.000000 %
